nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
12;-2.940395255E-15;-7.492136955E-02; 3.099999949E-02; 1.652691066E-01
13; 1.408378128E-03;-7.477692515E-02; 3.099999949E-02; 1.579321921E-01
14; 2.814155538E-03;-7.467412204E-02; 3.099999949E-02; 1.268224269E-01
15; 4.215674009E-03;-7.458493114E-02; 3.099999763E-02; 8.819651604E-02
16; 5.612029228E-03;-7.448200881E-02; 3.099999949E-02; 6.654533744E-02
18; 7.001753896E-03;-7.433841377E-02; 3.099999949E-02; 5.760472268E-02
21; 8.383127861E-03;-7.414127886E-02; 3.099999949E-02; 5.529658496E-02
24; 9.760861285E-03;-7.392900437E-02; 3.099999949E-02; 5.345943198E-02
28; 1.113992091E-02;-7.373327762E-02; 3.099999949E-02; 4.945360124E-02
32; 1.251680590E-02;-7.351910323E-02; 3.099999949E-02; 4.684842378E-02
38; 1.388711948E-02;-7.325511426E-02; 3.099999949E-02; 4.682240263E-02
45; 1.525677927E-02;-7.297537476E-02; 3.099999949E-02; 4.669592902E-02
52; 1.663208194E-02;-7.270990312E-02; 3.099999949E-02; 4.507620260E-02
60; 1.800734177E-02;-7.242826372E-02; 3.099999949E-02; 4.388744012E-02
69; 1.937533356E-02;-7.210347056E-02; 3.099999949E-02; 4.500889406E-02
79; 2.073756978E-02;-7.175579667E-02; 3.099999949E-02; 4.657159746E-02
90; 2.209856547E-02;-7.141357660E-02; 3.099999949E-02; 4.632726684E-02
101; 2.345799096E-02;-7.108552009E-02; 3.099999949E-02; 4.455907270E-02
112; 2.480920032E-02;-7.075132430E-02; 3.099999949E-02; 4.358179867E-02
127; 2.614491433E-02;-7.039057463E-02; 3.099999949E-02; 4.436629266E-02
140; 2.746279538E-02;-7.000621408E-02; 3.099999949E-02; 4.605522752E-02
152; 2.821119316E-02;-6.978303939E-02; 3.099999763E-02; 4.693778604E-02
159; 2.876448445E-02;-6.961805373E-02; 3.099999949E-02; 4.759101570E-02
175; 3.005089611E-02;-6.924299151E-02; 3.099999949E-02; 4.761466384E-02
191; 3.131802753E-02;-6.887876242E-02; 3.099999763E-02; 4.670109227E-02
209; 3.256065398E-02;-6.851451099E-02; 3.099999949E-02; 4.644998536E-02
227; 3.377679735E-02;-6.814137846E-02; 3.099999949E-02; 4.729817808E-02
247; 3.496884927E-02;-6.776053458E-02; 3.099999949E-02; 4.879378527E-02
266; 3.613993526E-02;-6.737667322E-02; 3.099999949E-02; 5.065171421E-02
287; 3.729297593E-02;-6.699401885E-02; 3.099999949E-02; 5.233413726E-02
307; 3.843101114E-02;-6.661637872E-02; 3.099999949E-02; 5.326198786E-02
329; 3.955679014E-02;-6.624694169E-02; 3.099999949E-02; 5.364671350E-02
350; 4.067224264E-02;-6.588532031E-02; 3.099999949E-02; 5.351918936E-02
371; 4.177880287E-02;-6.552870572E-02; 3.099999949E-02; 5.323725939E-02
393; 4.287800565E-02;-6.517434120E-02; 3.099999949E-02; 5.312962830E-02
413; 4.397143796E-02;-6.481954455E-02; 3.099999949E-02; 5.327725410E-02
439; 4.506058246E-02;-6.446170062E-02; 3.099999949E-02; 5.401952565E-02
464; 4.614701495E-02;-6.409914792E-02; 3.099999949E-02; 5.512074754E-02
488; 4.723290727E-02;-6.373214722E-02; 3.099999949E-02; 5.628650635E-02
512; 4.832030833E-02;-6.336120516E-02; 3.099999949E-02; 5.777039379E-02
528; 4.881349951E-02;-6.319196522E-02; 3.099999949E-02; 5.841430277E-02
540; 4.940979183E-02;-6.298734993E-02; 3.099999949E-02; 5.919260532E-02
570; 5.050156638E-02;-6.261175126E-02; 3.099999949E-02; 6.045188382E-02
598; 5.159581453E-02;-6.223557144E-02; 3.099999949E-02; 6.163536385E-02
628; 5.269248784E-02;-6.185961887E-02; 3.099999949E-02; 6.263747066E-02
657; 5.379150063E-02;-6.148439273E-02; 3.099999949E-02; 6.361874938E-02
686; 5.489277467E-02;-6.111039594E-02; 3.099999949E-02; 6.450988352E-02
716; 5.599621311E-02;-6.073812395E-02; 3.100000136E-02; 6.526164711E-02
748; 5.710174516E-02;-6.036807969E-02; 3.099999949E-02; 6.589263678E-02
780; 5.820925161E-02;-6.000034139E-02; 3.099999949E-02; 6.631734222E-02
811; 5.931835249E-02;-5.963414907E-02; 3.099999949E-02; 6.681302190E-02
843; 6.042867526E-02;-5.926861241E-02; 3.099999949E-02; 6.757265329E-02
875; 6.153986230E-02;-5.890284106E-02; 3.099999949E-02; 6.837759167E-02
908; 6.265156716E-02;-5.853591487E-02; 3.099999949E-02; 6.966449320E-02
940; 6.376340985E-02;-5.816693231E-02; 3.099999949E-02; 7.143653929E-02
943; 6.382120401E-02;-5.814761668E-02; 3.099999949E-02; 7.154383510E-02
978; 6.487523019E-02;-5.779537559E-02; 3.099999949E-02; 7.349903882E-02
1012; 6.598749757E-02;-5.742250755E-02; 3.099999949E-02; 7.568708807E-02
1054; 6.710083038E-02;-5.705012754E-02; 3.099999949E-02; 7.770989835E-02
1087; 6.821586192E-02;-5.668003485E-02; 3.100000136E-02; 7.974798977E-02
1124; 6.933318824E-02;-5.631404743E-02; 3.099999949E-02; 8.117035776E-02
1159; 7.045347244E-02;-5.595397949E-02; 3.099999949E-02; 8.173145354E-02
1197; 7.157713175E-02;-5.560120195E-02; 3.099999949E-02; 8.213922381E-02
1236; 7.270408422E-02;-5.525440350E-02; 3.099999949E-02; 8.219362050E-02
1269; 7.383420318E-02;-5.491134152E-02; 3.099999763E-02; 8.202136308E-02
1309; 7.496727258E-02;-5.456975847E-02; 3.099999949E-02; 8.230962604E-02
1347; 7.610312104E-02;-5.422738567E-02; 3.099999949E-02; 8.334702998E-02
1379; 7.710348070E-02;-5.392381176E-02; 3.099999949E-02; 8.530457318E-02
1385; 7.724153250E-02;-5.388191715E-02; 3.099999949E-02; 8.557097614E-02
1425; 7.838238031E-02;-5.353133008E-02; 3.099999949E-02; 8.834670484E-02
1468; 7.952601463E-02;-5.317667499E-02; 3.099999949E-02; 9.137208760E-02
1511; 8.067306131E-02;-5.282071978E-02; 3.099999949E-02; 9.505841136E-02
1558; 8.182425052E-02;-5.246626213E-02; 3.099999949E-02; 9.840849787E-02
1595; 8.298020065E-02;-5.211619660E-02; 3.099999949E-02; 1.003971398E-01
1638; 8.414132148E-02;-5.177351832E-02; 3.099999949E-02; 1.012423784E-01
1679; 8.530816436E-02;-5.144058168E-02; 3.099999949E-02; 1.011614501E-01
1719; 8.648042381E-02;-5.111565813E-02; 3.099999949E-02; 1.005307734E-01
1762; 8.765742183E-02;-5.079524592E-02; 3.099999949E-02; 1.000557914E-01
