nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
1650; 8.439361304E-02;-5.170053989E-02;-3.099999949E-02; 1.207252443E-01
1675; 8.513924479E-02;-5.148932338E-02;-3.099999949E-02; 1.202926338E-01
1690; 8.556701988E-02;-5.136814341E-02;-3.099999949E-02; 1.200490445E-01
1732; 8.674578369E-02;-5.104304478E-02;-3.099999949E-02; 1.189358979E-01
1774; 8.792925626E-02;-5.072167143E-02;-3.099999949E-02; 1.184102595E-01
1816; 8.911673725E-02;-5.040041730E-02;-3.099999949E-02; 1.190772802E-01
1858; 9.030752629E-02;-5.007558689E-02;-3.099999949E-02; 1.218257993E-01
1903; 9.150123596E-02;-4.974458739E-02;-3.099999949E-02; 1.264404655E-01
1950; 9.269829094E-02;-4.940998554E-02;-3.099999763E-02; 1.315715015E-01
1997; 9.389940649E-02;-4.907584563E-02;-3.099999949E-02; 1.363400221E-01
2042; 9.510546923E-02;-4.874625430E-02;-3.099999949E-02; 1.394778192E-01
2088; 9.631720185E-02;-4.842541739E-02;-3.099999949E-02; 1.403868496E-01
2102; 9.664337337E-02;-4.834248498E-02;-3.099999949E-02; 1.400912106E-01
2131; 9.753508121E-02;-4.811575636E-02;-3.099999949E-02; 1.392823011E-01
2178; 9.875851870E-02;-4.781427979E-02;-3.099999949E-02; 1.374053061E-01
2221; 9.998669475E-02;-4.751692340E-02;-3.099999949E-02; 1.366015524E-01
2266; 1.012190357E-01;-4.721949622E-02;-3.099999949E-02; 1.375724375E-01
2310; 1.024547145E-01;-4.691779613E-02;-3.099999949E-02; 1.412580013E-01
2358; 1.036931947E-01;-4.660986736E-02;-3.099999949E-02; 1.469441503E-01
2407; 1.049353480E-01;-4.629909247E-02;-3.100000136E-02; 1.529158056E-01
2454; 1.061818674E-01;-4.598980770E-02;-3.099999949E-02; 1.582027227E-01
2500; 1.074334979E-01;-4.568642750E-02;-3.099999949E-02; 1.611584127E-01
2520; 1.079482734E-01;-4.556642845E-02;-3.099999949E-02; 1.612055153E-01
2546; 1.086909473E-01;-4.539331049E-02;-3.099999949E-02; 1.612540931E-01
2593; 1.099544615E-01;-4.511110857E-02;-3.099999949E-02; 1.593414843E-01
2639; 1.112233326E-01;-4.483627900E-02;-3.099999949E-02; 1.573592126E-01
2688; 1.124967262E-01;-4.456498846E-02;-3.099999949E-02; 1.566713750E-01
2732; 1.137741283E-01;-4.429328069E-02;-3.099999949E-02; 1.579817235E-01
2777; 1.150548607E-01;-4.401716962E-02;-3.100000136E-02; 1.621266007E-01
2825; 1.163383946E-01;-4.373485222E-02;-3.099999949E-02; 1.685220152E-01
2878; 1.176252961E-01;-4.344956577E-02;-3.099999949E-02; 1.755846292E-01
2932; 1.189162284E-01;-4.316531122E-02;-3.099999949E-02; 1.819466054E-01
2942; 1.192225069E-01;-4.309932515E-02;-3.099999949E-02; 1.829061508E-01
2978; 1.202118546E-01;-4.288616404E-02;-3.099999949E-02; 1.859928519E-01
3026; 1.215127930E-01;-4.261627048E-02;-3.099999949E-02; 1.866783202E-01
3075; 1.228192821E-01;-4.235780612E-02;-3.099999949E-02; 1.846191883E-01
3120; 1.241308451E-01;-4.210773110E-02;-3.099999949E-02; 1.818634123E-01
3164; 1.254467368E-01;-4.186218232E-02;-3.099999949E-02; 1.806047857E-01
3208; 1.267663389E-01;-4.161720350E-02;-3.100000136E-02; 1.815559417E-01
3260; 1.280889064E-01;-4.136879742E-02;-3.099999949E-02; 1.855062693E-01
3309; 1.294141263E-01;-4.111441970E-02;-3.099999949E-02; 1.924825311E-01
3351; 1.305835694E-01;-4.088762403E-02;-3.099999949E-02; 1.995696872E-01
3362; 1.307422817E-01;-4.085684195E-02;-3.099999949E-02; 2.005305439E-01
3411; 1.320738792E-01;-4.060006514E-02;-3.099999949E-02; 2.075892240E-01
3459; 1.334096491E-01;-4.034808278E-02;-3.099999949E-02; 2.118143588E-01
3511; 1.347500533E-01;-4.010501131E-02;-3.099999949E-02; 2.123626471E-01
3560; 1.360954344E-01;-3.987300396E-02;-3.099999949E-02; 2.101395130E-01
3603; 1.374451667E-01;-3.964915499E-02;-3.099999949E-02; 2.072582841E-01
3652; 1.387986988E-01;-3.942969441E-02;-3.099999949E-02; 2.057598680E-01
3693; 1.401554793E-01;-3.921077400E-02;-3.099999949E-02; 2.067970932E-01
3743; 1.415148228E-01;-3.898854181E-02;-3.099999949E-02; 2.115610987E-01
3766; 1.421478838E-01;-3.888270259E-02;-3.099999949E-02; 2.151473612E-01
3796; 1.428763121E-01;-3.876091540E-02;-3.099999949E-02; 2.192477435E-01
3845; 1.442404836E-01;-3.853071108E-02;-3.099999949E-02; 2.275929302E-01
3894; 1.456077844E-01;-3.830168396E-02;-3.099999949E-02; 2.347180545E-01
3946; 1.469785124E-01;-3.807765245E-02;-3.099999949E-02; 2.388883233E-01
3994; 1.483500302E-01;-3.786287829E-02;-3.100000136E-02; 2.391455770E-01
4042; 1.497255862E-01;-3.765806556E-02;-3.099999949E-02; 2.363996208E-01
4086; 1.511045992E-01;-3.746016696E-02;-3.099999763E-02; 2.334975004E-01
4131; 1.524864584E-01;-3.726568446E-02;-3.099999949E-02; 2.324452847E-01
4178; 1.538707912E-01;-3.707104921E-02;-3.099999949E-02; 2.345260233E-01
4188; 1.542782038E-01;-3.701277450E-02;-3.099999949E-02; 2.362355292E-01
4225; 1.552570909E-01;-3.687275201E-02;-3.099999949E-02; 2.403499931E-01
4275; 1.566450596E-01;-3.667003289E-02;-3.099999949E-02; 2.486007512E-01
4327; 1.580350846E-01;-3.646600991E-02;-3.099999949E-02; 2.572799921E-01
4374; 1.594276875E-01;-3.626410663E-02;-3.099999949E-02; 2.640164196E-01
4423; 1.608231962E-01;-3.606779873E-02;-3.100000136E-02; 2.669515014E-01
4470; 1.622218490E-01;-3.588033840E-02;-3.099999949E-02; 2.661471963E-01
4518; 1.636235416E-01;-3.570144996E-02;-3.099999763E-02; 2.631385624E-01
4557; 1.650280356E-01;-3.552829102E-02;-3.099999949E-02; 2.601885498E-01
4602; 1.664347947E-01;-3.535795584E-02;-3.099999949E-02; 2.594068646E-01
4620; 1.669579148E-01;-3.529466316E-02;-3.099999949E-02; 2.601624727E-01
4651; 1.678434610E-01;-3.518751264E-02;-3.099999949E-02; 2.614650726E-01
4698; 1.692537367E-01;-3.501400352E-02;-3.099999949E-02; 2.670418918E-01
4742; 1.706654280E-01;-3.483623266E-02;-3.099999949E-02; 2.758799791E-01
4793; 1.720787287E-01;-3.465661407E-02;-3.099999949E-02; 2.851557434E-01
4840; 1.734938920E-01;-3.447802737E-02;-3.099999949E-02; 2.929158807E-01
4892; 1.749113798E-01;-3.430333361E-02;-3.099999949E-02; 2.975817919E-01
4932; 1.763313711E-01;-3.413545340E-02;-3.099999949E-02; 2.980758548E-01
4982; 1.777538657E-01;-3.397622332E-02;-3.099999949E-02; 2.955961227E-01
5028; 1.791786551E-01;-3.382377326E-02;-3.099999949E-02; 2.917475700E-01
5053; 1.801671088E-01;-3.372101486E-02;-3.099999949E-02; 2.900656462E-01
5069; 1.806054711E-01;-3.367544711E-02;-3.099999949E-02; 2.893269658E-01
5109; 1.820339561E-01;-3.352859616E-02;-3.099999949E-02; 2.894905806E-01
5158; 1.834637672E-01;-3.338054940E-02;-3.099999949E-02; 2.927147746E-01
5202; 1.848946512E-01;-3.322894871E-02;-3.099999949E-02; 3.000724316E-01
5243; 1.863266826E-01;-3.307453170E-02;-3.099999949E-02; 3.092332482E-01
5287; 1.877600104E-01;-3.291971236E-02;-3.099999949E-02; 3.177920282E-01
5339; 1.891947985E-01;-3.276693076E-02;-3.100000136E-02; 3.242954910E-01
5387; 1.906313002E-01;-3.261863813E-02;-3.099999949E-02; 3.272290230E-01
5430; 1.920697391E-01;-3.247713298E-02;-3.099999949E-02; 3.264470398E-01
5470; 1.935099512E-01;-3.234247491E-02;-3.099999949E-02; 3.234251142E-01
5489; 1.940559745E-01;-3.229347244E-02;-3.099999949E-02; 3.221822977E-01
5513; 1.949517280E-01;-3.221308812E-02;-3.099999949E-02; 3.201767206E-01
5553; 1.963949949E-01;-3.208732605E-02;-3.099999949E-02; 3.173375726E-01
5591; 1.978395134E-01;-3.196355328E-02;-3.099999949E-02; 3.164738715E-01
5634; 1.992851496E-01;-3.184012696E-02;-3.099999949E-02; 3.177419305E-01
5676; 2.007317245E-01;-3.171538934E-02;-3.099999949E-02; 3.215611577E-01
5715; 2.021791190E-01;-3.158772364E-02;-3.099999949E-02; 3.286927342E-01
5762; 2.036272585E-01;-3.145697713E-02;-3.100000136E-02; 3.376176953E-01
5804; 2.050762028E-01;-3.132465482E-02;-3.099999949E-02; 3.468537331E-01
5852; 2.065261304E-01;-3.119236603E-02;-3.099999949E-02; 3.555162549E-01
5897; 2.079771608E-01;-3.106172755E-02;-3.099999949E-02; 3.620818257E-01
5916; 2.087982446E-01;-3.098971397E-02;-3.099999949E-02; 3.642269373E-01
5945; 2.094293982E-01;-3.093435988E-02;-3.099999949E-02; 3.658764958E-01
5986; 2.108828574E-01;-3.081189841E-02;-3.099999949E-02; 3.665603995E-01
6028; 2.123377621E-01;-3.069582209E-02;-3.099999949E-02; 3.641546667E-01
6066; 2.137939632E-01;-3.058585711E-02;-3.099999949E-02; 3.603918850E-01
6104; 2.152512819E-01;-3.048058972E-02;-3.099999949E-02; 3.558154404E-01
6142; 2.167096138E-01;-3.037856705E-02;-3.099999949E-02; 3.520771861E-01
6176; 2.181688696E-01;-3.027833439E-02;-3.099999949E-02; 3.506324589E-01
6215; 2.196288556E-01;-3.017843328E-02;-3.099999949E-02; 3.512621224E-01
6253; 2.210894972E-01;-3.007740714E-02;-3.099999949E-02; 3.546583652E-01
6295; 2.225507051E-01;-2.997386083E-02;-3.099999949E-02; 3.611039221E-01
6335; 2.240124196E-01;-2.986780740E-02;-3.099999949E-02; 3.694313169E-01
6354; 2.247382104E-01;-2.981455810E-02;-3.099999949E-02; 3.735730648E-01
6379; 2.254747152E-01;-2.976052277E-02;-3.099999949E-02; 3.777723908E-01
6420; 2.269376367E-01;-2.965331078E-02;-3.099999949E-02; 3.852730393E-01
6465; 2.284012884E-01;-2.954748645E-02;-3.099999949E-02; 3.910700977E-01
6503; 2.298657745E-01;-2.944436856E-02;-3.099999949E-02; 3.942546248E-01
6543; 2.313310951E-01;-2.934528328E-02;-3.099999949E-02; 3.947460353E-01
6576; 2.327972949E-01;-2.925133891E-02;-3.099999949E-02; 3.925111890E-01
6620; 2.342643738E-01;-2.916220017E-02;-3.099999949E-02; 3.887704015E-01
6648; 2.357321829E-01;-2.907693014E-02;-3.099999949E-02; 3.846670389E-01
6687; 2.372006327E-01;-2.899458632E-02;-3.099999949E-02; 3.807444870E-01
6716; 2.386697233E-01;-2.891422808E-02;-3.100000136E-02; 3.778684139E-01
6753; 2.401393205E-01;-2.883490175E-02;-3.099999763E-02; 3.766633570E-01
6783; 2.416094095E-01;-2.875566296E-02;-3.099999949E-02; 3.774262369E-01
6799; 2.423153222E-01;-2.871721052E-02;-3.099999949E-02; 3.785799146E-01
6822; 2.430799007E-01;-2.867556177E-02;-3.099999949E-02; 3.798376918E-01
6858; 2.445507348E-01;-2.859364264E-02;-3.099999949E-02; 3.848833442E-01
6897; 2.460218668E-01;-2.850935422E-02;-3.099999949E-02; 3.920049667E-01
6932; 2.474933267E-01;-2.842338756E-02;-3.099999949E-02; 3.997549117E-01
6970; 2.489651144E-01;-2.833669074E-02;-3.099999949E-02; 4.074469209E-01
7015; 2.504373491E-01;-2.825020440E-02;-3.099999949E-02; 4.139620960E-01
7052; 2.519100010E-01;-2.816487476E-02;-3.099999949E-02; 4.188255072E-01
7092; 2.533831596E-01;-2.808164805E-02;-3.099999949E-02; 4.216744006E-01
7123; 2.548568249E-01;-2.800147422E-02;-3.099999949E-02; 4.223369956E-01
7164; 2.563310862E-01;-2.792530321E-02;-3.099999949E-02; 4.202445745E-01
7192; 2.578059137E-01;-2.785382979E-02;-3.100000136E-02; 4.157505035E-01
7225; 2.592812777E-01;-2.778657712E-02;-3.099999949E-02; 4.099916816E-01
7258; 2.607570887E-01;-2.772271819E-02;-3.099999949E-02; 4.041380286E-01
7288; 2.621648908E-01;-2.766427398E-02;-3.099999949E-02; 3.991935849E-01
7290; 2.622333765E-01;-2.766142972E-02;-3.099999949E-02; 3.989523947E-01
7314; 2.637100518E-01;-2.760188468E-02;-3.099999949E-02; 3.947816193E-01
7343; 2.651870847E-01;-2.754325606E-02;-3.099999949E-02; 3.921364546E-01
7371; 2.666644454E-01;-2.748471126E-02;-3.099999949E-02; 3.909177184E-01
7399; 2.681420445E-01;-2.742542513E-02;-3.099999949E-02; 3.914623559E-01
7435; 2.696199417E-01;-2.736456320E-02;-3.099999949E-02; 3.944544196E-01
7467; 2.710980177E-01;-2.730177157E-02;-3.099999949E-02; 3.991723955E-01
7496; 2.725763023E-01;-2.723765746E-02;-3.099999949E-02; 4.044054151E-01
7535; 2.740548849E-01;-2.717296220E-02;-3.099999949E-02; 4.091036022E-01
7564; 2.755336761E-01;-2.710842155E-02;-3.099999949E-02; 4.126569629E-01
7602; 2.770127356E-01;-2.704477869E-02;-3.100000136E-02; 4.151582122E-01
7630; 2.784920931E-01;-2.698276751E-02;-3.099999949E-02; 4.142673910E-01
7660; 2.799717784E-01;-2.692313679E-02;-3.099999949E-02; 4.129455388E-01
7697; 2.814517319E-01;-2.686662227E-02;-3.099999949E-02; 4.081047475E-01
7728; 2.829320431E-01;-2.681365795E-02;-3.099999949E-02; 4.008085728E-01
7751; 2.844126225E-01;-2.676386759E-02;-3.099999949E-02; 3.924750388E-01
7778; 2.858934402E-01;-2.671674825E-02;-3.099999949E-02; 3.836840093E-01
7780; 2.859597802E-01;-2.671473473E-02;-3.099999949E-02; 3.832736015E-01
7801; 2.873744369E-01;-2.667179704E-02;-3.099999949E-02; 3.745289147E-01
7830; 2.888556719E-01;-2.662850916E-02;-3.099999949E-02; 3.658400476E-01
7854; 2.903371155E-01;-2.658637613E-02;-3.099999949E-02; 3.565053046E-01
7871; 2.918187380E-01;-2.654489130E-02;-3.099999949E-02; 3.480204344E-01
7902; 2.933005393E-01;-2.650354989E-02;-3.099999949E-02; 3.387064636E-01
7922; 2.947825491E-01;-2.646184899E-02;-3.099999949E-02; 3.310372531E-01
7948; 2.962646484E-01;-2.641927637E-02;-3.099999949E-02; 3.207685947E-01
7969; 2.977468669E-01;-2.637533471E-02;-3.099999949E-02; 3.127369583E-01
8001; 2.992292643E-01;-2.632984892E-02;-3.099999949E-02; 3.028200269E-01
8028; 3.007118106E-01;-2.628326043E-02;-3.099999949E-02; 2.901092172E-01
8055; 3.021945357E-01;-2.623606287E-02;-3.099999949E-02; 2.783105075E-01
8078; 3.036773801E-01;-2.618875727E-02;-3.099999949E-02; 2.595584691E-01
