nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
12;-2.940395255E-15;-7.492136955E-02; 3.099999949E-02; 1.651080251E-01
13; 1.408378128E-03;-7.477692515E-02; 3.099999949E-02; 1.579899043E-01
14; 2.814155538E-03;-7.467412204E-02; 3.099999949E-02; 1.267975271E-01
15; 4.215674009E-03;-7.458493114E-02; 3.099999763E-02; 8.823397756E-02
16; 5.612029228E-03;-7.448200881E-02; 3.099999949E-02; 6.663344055E-02
18; 7.001753896E-03;-7.433841377E-02; 3.099999949E-02; 5.755007267E-02
21; 8.383127861E-03;-7.414127886E-02; 3.099999949E-02; 5.542475730E-02
24; 9.760861285E-03;-7.392900437E-02; 3.099999949E-02; 5.342333019E-02
28; 1.113992091E-02;-7.373327762E-02; 3.099999949E-02; 4.935303703E-02
32; 1.251680590E-02;-7.351910323E-02; 3.099999949E-02; 4.680185020E-02
38; 1.388711948E-02;-7.325511426E-02; 3.099999949E-02; 4.697791114E-02
45; 1.525677927E-02;-7.297537476E-02; 3.099999949E-02; 4.686621577E-02
52; 1.663208194E-02;-7.270990312E-02; 3.099999949E-02; 4.499186948E-02
60; 1.800734177E-02;-7.242826372E-02; 3.099999949E-02; 4.406289384E-02
69; 1.937533356E-02;-7.210347056E-02; 3.099999949E-02; 4.522453621E-02
79; 2.073756978E-02;-7.175579667E-02; 3.099999949E-02; 4.657822847E-02
90; 2.209856547E-02;-7.141357660E-02; 3.099999949E-02; 4.637394100E-02
101; 2.345799096E-02;-7.108552009E-02; 3.099999949E-02; 4.458720237E-02
112; 2.480920032E-02;-7.075132430E-02; 3.099999949E-02; 4.356093332E-02
127; 2.614491433E-02;-7.039057463E-02; 3.099999949E-02; 4.439635202E-02
140; 2.746279538E-02;-7.000621408E-02; 3.099999949E-02; 4.622545093E-02
152; 2.821119316E-02;-6.978303939E-02; 3.099999763E-02; 4.700815678E-02
159; 2.876448445E-02;-6.961805373E-02; 3.099999949E-02; 4.758651182E-02
175; 3.005089611E-02;-6.924299151E-02; 3.099999949E-02; 4.760984704E-02
191; 3.131802753E-02;-6.887876242E-02; 3.099999763E-02; 4.669729993E-02
209; 3.256065398E-02;-6.851451099E-02; 3.099999949E-02; 4.648235440E-02
227; 3.377679735E-02;-6.814137846E-02; 3.099999949E-02; 4.754731804E-02
247; 3.496884927E-02;-6.776053458E-02; 3.099999949E-02; 4.904173315E-02
266; 3.613993526E-02;-6.737667322E-02; 3.099999949E-02; 5.068869516E-02
287; 3.729297593E-02;-6.699401885E-02; 3.099999949E-02; 5.226448923E-02
307; 3.843101114E-02;-6.661637872E-02; 3.099999949E-02; 5.332241207E-02
329; 3.955679014E-02;-6.624694169E-02; 3.099999949E-02; 5.364486575E-02
350; 4.067224264E-02;-6.588532031E-02; 3.099999949E-02; 5.337517709E-02
371; 4.177880287E-02;-6.552870572E-02; 3.099999949E-02; 5.298697203E-02
393; 4.287800565E-02;-6.517434120E-02; 3.099999949E-02; 5.301006138E-02
413; 4.397143796E-02;-6.481954455E-02; 3.099999949E-02; 5.331907421E-02
439; 4.506058246E-02;-6.446170062E-02; 3.099999949E-02; 5.399533734E-02
464; 4.614701495E-02;-6.409914792E-02; 3.099999949E-02; 5.489518493E-02
488; 4.723290727E-02;-6.373214722E-02; 3.099999949E-02; 5.604277551E-02
512; 4.832030833E-02;-6.336120516E-02; 3.099999949E-02; 5.745898932E-02
