
[Name]
TestLine4

[Data]
Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], X [ m ], Y [ m ], Z [ m ]
-2.71557188e+00, -1.10199051e+02, -1.22341938e+01, 0.00000000e+00, -2.75672853e-01, -1.43248662e-02, -1.19683051e+00, 3.17094594e-01, 3.16864073e-01, 0.00000000e+00, 1.20890401e-02, 1.29999995e+00, 2.50000004e-02, 0.00000000e+00
-2.48818588e+00, -9.29032288e+01, -1.44718533e+01, 7.22361729e-04, -2.65514791e-01, 1.34769595e+00, -2.16983414e+00, 3.17482561e-01, 3.17252308e-01, 0.00000000e+00, 1.20893558e-02, 1.29999995e+00, 2.44949497e-02, 0.00000000e+00
-2.26603699e+00, -7.54310455e+01, -1.67159462e+01, 1.38478773e-03, -2.57609785e-01, 2.69908428e+00, -3.14850950e+00, null, null, null, null, 1.29999995e+00, 2.39898991e-02, 0.00000000e+00
-1.76719141e+00, -5.05230904e+01, -1.83983002e+01, -1.85941765e-03, -1.40629545e-01, 3.29571271e+00, -4.32127380e+00, null, null, null, null, 1.29999995e+00, 2.34848484e-02, 0.00000000e+00
-1.27888048e+00, -2.63584099e+01, -1.98801880e+01, -5.04175061e-03, -2.57573724e-02, 3.81023932e+00, -5.42601967e+00, null, null, null, null, 1.29999995e+00, 2.29797978e-02, 0.00000000e+00
-7.84600794e-01, -2.02369347e+01, -1.60261135e+01, -6.76983967e-03, 2.09104165e-01, 2.15078449e+00, -4.72217703e+00, null, null, null, null, 1.29999995e+00, 2.24747472e-02, 0.00000000e+00
-2.73725122e-01, -1.43508224e+01, -1.20256500e+01, -8.31713248e-03, 4.42200720e-01, 6.18693650e-01, -3.94730735e+00, null, null, null, null, 1.29999995e+00, 2.19696965e-02, 0.00000000e+00
3.36502016e-01, -1.21344166e+01, -5.98921108e+00, -6.82258140e-03, 6.35796845e-01, 1.02236104e+00, -1.85394835e+00, null, null, null, null, 1.29999995e+00, 2.14646459e-02, 0.00000000e+00
9.64722395e-01, -9.71184540e+00, -1.64234430e-01, -5.59109403e-03, 8.28116655e-01, 1.55638909e+00, 1.83272064e-01, null, null, null, null, 1.29999995e+00, 2.09595952e-02, 0.00000000e+00
1.58112288e+00, -5.05067492e+00, 2.88602686e+00, -7.19070202e-03, 8.91281188e-01, 3.63807631e+00, 1.70870876e+00, null, null, null, null, 1.29999995e+00, 2.04545446e-02, 0.00000000e+00
2.18801022e+00, -7.72732198e-01, 5.64640141e+00, -9.05452482e-03, 9.52501893e-01, 5.54931116e+00, 3.09015822e+00, null, null, null, null, 1.29999995e+00, 1.99494939e-02, 0.00000000e+00
2.61888123e+00, 1.72530144e-01, 5.75617266e+00, -1.32366987e-02, 9.14408147e-01, 5.98016453e+00, 3.20933604e+00, null, null, null, null, 1.29999995e+00, 1.94444433e-02, 0.00000000e+00
3.05737019e+00, 9.79361236e-01, 5.85996485e+00, -1.73579808e-02, 8.71057272e-01, 6.15146780e+00, 3.31060314e+00, null, null, null, null, 1.29999995e+00, 1.89393926e-02, 0.00000000e+00
