nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
1638; 8.414132148E-02;-5.177351832E-02; 3.099999949E-02; 1.003892720E-01
1679; 8.530816436E-02;-5.144058168E-02; 3.099999949E-02; 1.002195030E-01
1719; 8.648042381E-02;-5.111565813E-02; 3.099999949E-02; 9.948268533E-02
1762; 8.765742183E-02;-5.079524592E-02; 3.099999949E-02; 9.911111742E-02
1805; 8.883846551E-02;-5.047579110E-02; 3.099999949E-02; 9.963574260E-02
1828; 8.946050704E-02;-5.030662939E-02; 3.099999949E-02; 1.006214023E-01
1843; 9.002289176E-02;-5.015368760E-02; 3.099999949E-02; 1.015181243E-01
1890; 9.121020138E-02;-4.982569814E-02; 3.100000136E-02; 1.050537750E-01
1935; 9.240058064E-02;-4.949322343E-02; 3.099999949E-02; 1.094626188E-01
1984; 9.359470755E-02;-4.916022345E-02; 3.099999949E-02; 1.137727946E-01
2029; 9.479349852E-02;-4.883070290E-02; 3.100000136E-02; 1.170676202E-01
2073; 9.599761665E-02;-4.850879312E-02; 3.099999949E-02; 1.185788512E-01
2119; 9.720776975E-02;-4.819786549E-02; 3.099999949E-02; 1.184499562E-01
2160; 9.842353314E-02;-4.789612442E-02; 3.099999949E-02; 1.173464805E-01
2207; 9.964413941E-02;-4.759958014E-02; 3.099999949E-02; 1.167271882E-01
2249; 1.008689776E-01;-4.730414599E-02; 3.099999949E-02; 1.173526943E-01
2266; 1.013648957E-01;-4.718364030E-02; 3.099999949E-02; 1.183246523E-01
2295; 1.020972580E-01;-4.700567946E-02; 3.099999949E-02; 1.197563559E-01
2342; 1.033282652E-01;-4.670099914E-02; 3.099999949E-02; 1.242469475E-01
2387; 1.045626104E-01;-4.639228061E-02; 3.099999949E-02; 1.295488179E-01
2435; 1.058009639E-01;-4.608376697E-02; 3.099999949E-02; 1.346472502E-01
2488; 1.070440561E-01;-4.577977955E-02; 3.099999949E-02; 1.382040828E-01
2534; 1.082926467E-01;-4.548468441E-02; 3.099999949E-02; 1.393718123E-01
2578; 1.095472425E-01;-4.520093650E-02; 3.099999949E-02; 1.385897249E-01
2621; 1.108072996E-01;-4.492569342E-02; 3.099999949E-02; 1.371205151E-01
2669; 1.120719686E-01;-4.465522990E-02; 3.099999949E-02; 1.364982724E-01
2702; 1.130097061E-01;-4.445600510E-02; 3.100000136E-02; 1.370598674E-01
2716; 1.133407876E-01;-4.438566417E-02; 3.099999949E-02; 1.372555047E-01
2760; 1.146130413E-01;-4.411308840E-02; 3.099999949E-02; 1.401350349E-01
2806; 1.158880219E-01;-4.383437708E-02; 3.099999949E-02; 1.452755928E-01
2858; 1.171660200E-01;-4.355137795E-02; 3.099999949E-02; 1.516205817E-01
2904; 1.184477359E-01;-4.326798022E-02; 3.099999763E-02; 1.578555703E-01
2956; 1.197338030E-01;-4.298818111E-02; 3.099999949E-02; 1.623267531E-01
3004; 1.210248023E-01;-4.271602258E-02; 3.099999949E-02; 1.642578244E-01
3054; 1.223212406E-01;-4.245501384E-02; 3.099999949E-02; 1.639170200E-01
3099; 1.236228421E-01;-4.220373929E-02; 3.099999949E-02; 1.621683538E-01
3134; 1.245705485E-01;-4.202574119E-02; 3.099999949E-02; 1.612091362E-01
3145; 1.249288991E-01;-4.195843264E-02; 3.099999949E-02; 1.608451605E-01
3193; 1.262388080E-01;-4.171524569E-02; 3.099999949E-02; 1.610850543E-01
3237; 1.275518686E-01;-4.147027805E-02; 3.099999949E-02; 1.637981683E-01
3289; 1.288675517E-01;-4.121988639E-02; 3.099999949E-02; 1.692269295E-01
3334; 1.301858574E-01;-4.096481204E-02; 3.099999949E-02; 1.761998832E-01
3386; 1.315072775E-01;-4.070888460E-02; 3.099999949E-02; 1.833263040E-01
3439; 1.328324676E-01;-4.045601189E-02; 3.099999949E-02; 1.886121333E-01
3488; 1.341619492E-01;-4.021019116E-02; 3.099999949E-02; 1.909057051E-01
3538; 1.354962587E-01;-3.997500241E-02; 3.099999949E-02; 1.905333549E-01
3560; 1.361732781E-01;-3.986096755E-02; 3.099999949E-02; 1.894585490E-01
3586; 1.368350834E-01;-3.974948451E-02; 3.099999949E-02; 1.884205639E-01
3633; 1.381778419E-01;-3.952999040E-02; 3.099999949E-02; 1.867732704E-01
3677; 1.395239979E-01;-3.931278363E-02; 3.099999949E-02; 1.870189011E-01
3721; 1.408729106E-01;-3.909410164E-02; 3.099999949E-02; 1.898871958E-01
3775; 1.422239393E-01;-3.887047991E-02; 3.099999949E-02; 1.957979500E-01
3827; 1.435773820E-01;-3.864263371E-02; 3.099999949E-02; 2.035280317E-01
3872; 1.449335515E-01;-3.841416538E-02; 3.099999949E-02; 2.111877650E-01
3923; 1.462928206E-01;-3.818878531E-02; 3.099999949E-02; 2.166273892E-01
3970; 1.476642042E-01;-3.796887398E-02; 3.099999949E-02; 2.187913358E-01
3980; 1.478817016E-01;-3.793569654E-02; 3.099999949E-02; 2.186798453E-01
4019; 1.490397006E-01;-3.775904328E-02; 3.099999949E-02; 2.180928886E-01
4065; 1.504190564E-01;-3.755784780E-02; 3.099999949E-02; 2.158518136E-01
4114; 1.518015862E-01;-3.736182302E-02; 3.099999949E-02; 2.142833471E-01
4159; 1.531869471E-01;-3.716740385E-02; 3.099999949E-02; 2.148673087E-01
4204; 1.545745581E-01;-3.697101399E-02; 3.099999949E-02; 2.187235653E-01
4253; 1.559639573E-01;-3.676985204E-02; 3.099999949E-02; 2.256880999E-01
4303; 1.573552787E-01;-3.656569123E-02; 3.099999949E-02; 2.339804173E-01
4356; 1.587490439E-01;-3.636196628E-02; 3.099999949E-02; 2.415399104E-01
4383; 1.595389843E-01;-3.624894097E-02; 3.099999949E-02; 2.442929447E-01
4404; 1.601456106E-01;-3.616213799E-02; 3.099999949E-02; 2.463940233E-01
4454; 1.615453064E-01;-3.596973419E-02; 3.099999949E-02; 2.476639301E-01
4498; 1.629482657E-01;-3.578669205E-02; 3.100000136E-02; 2.460852861E-01
4549; 1.643542796E-01;-3.561078757E-02; 3.100000136E-02; 2.434251904E-01
4588; 1.657628566E-01;-3.543911874E-02; 3.099999949E-02; 2.418503761E-01
4631; 1.671735495E-01;-3.526874632E-02; 3.099999949E-02; 2.425385714E-01
4679; 1.685861051E-01;-3.509668633E-02; 3.099999949E-02; 2.462756336E-01
4728; 1.700002253E-01;-3.492037952E-02; 3.099999949E-02; 2.534666061E-01
4774; 1.714159101E-01;-3.474087268E-02; 3.099999949E-02; 2.623018026E-01
4782; 1.715914011E-01;-3.471860662E-02; 3.099999949E-02; 2.633436918E-01
4824; 1.728333980E-01;-3.456103429E-02; 3.099999949E-02; 2.707009017E-01
4873; 1.742531210E-01;-3.438374773E-02; 3.099999949E-02; 2.767226100E-01
4917; 1.756753623E-01;-3.421194106E-02; 3.099999949E-02; 2.793918252E-01
4965; 1.771002114E-01;-3.404835984E-02; 3.099999949E-02; 2.786879241E-01
5019; 1.785275489E-01;-3.389273956E-02; 3.099999949E-02; 2.756557465E-01
5057; 1.799571961E-01;-3.374246880E-02; 3.099999949E-02; 2.727136314E-01
5098; 1.813887358E-01;-3.359489515E-02; 3.099999949E-02; 2.717114985E-01
5141; 1.828218102E-01;-3.344732150E-02; 3.099999949E-02; 2.736600339E-01
5183; 1.842045933E-01;-3.330246732E-02; 3.099999949E-02; 2.788683176E-01
5186; 1.842561662E-01;-3.329706937E-02; 3.099999949E-02; 2.790645361E-01
5235; 1.856916845E-01;-3.314318135E-02; 3.099999949E-02; 2.872368097E-01
5278; 1.871284842E-01;-3.298779950E-02; 3.099999949E-02; 2.958214581E-01
5325; 1.885667592E-01;-3.283337504E-02; 3.099999949E-02; 3.031599224E-01
5371; 1.900067627E-01;-3.268237785E-02; 3.100000136E-02; 3.077610731E-01
5417; 1.914487034E-01;-3.253728151E-02; 3.099999949E-02; 3.089215755E-01
5465; 1.928925514E-01;-3.239943832E-02; 3.099999949E-02; 3.070796132E-01
5503; 1.943381876E-01;-3.226759285E-02; 3.099999949E-02; 3.039709330E-01
5544; 1.957854182E-01;-3.214009106E-02; 3.099999949E-02; 3.012610674E-01
5583; 1.972341239E-01;-3.201527894E-02; 3.099999949E-02; 2.997771204E-01
5591; 1.975201219E-01;-3.199086338E-02; 3.099999949E-02; 2.998453677E-01
5624; 1.986840218E-01;-3.189150244E-02; 3.099999949E-02; 3.001432717E-01
5662; 2.001350373E-01;-3.176709637E-02; 3.099999949E-02; 3.027177751E-01
5709; 2.015870214E-01;-3.164038062E-02; 3.099999949E-02; 3.082157969E-01
5752; 2.030398399E-01;-3.151028603E-02; 3.099999949E-02; 3.163025379E-01
