nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
12;-2.940395255E-15;-7.492136955E-02; 3.099999949E-02; 1.654255688E-01
13; 1.408378128E-03;-7.477692515E-02; 3.099999949E-02; 1.579642594E-01
14; 2.814155538E-03;-7.467412204E-02; 3.099999949E-02; 1.267324686E-01
15; 4.215674009E-03;-7.458493114E-02; 3.099999763E-02; 8.821339905E-02
16; 5.612029228E-03;-7.448200881E-02; 3.099999949E-02; 6.668762118E-02
18; 7.001753896E-03;-7.433841377E-02; 3.099999949E-02; 5.786874518E-02
21; 8.383127861E-03;-7.414127886E-02; 3.099999949E-02; 5.569771677E-02
24; 9.760861285E-03;-7.392900437E-02; 3.099999949E-02; 5.399101973E-02
28; 1.113992091E-02;-7.373327762E-02; 3.099999949E-02; 5.034197122E-02
32; 1.251680590E-02;-7.351910323E-02; 3.099999949E-02; 4.831004888E-02
38; 1.388711948E-02;-7.325511426E-02; 3.099999949E-02; 4.906779155E-02
45; 1.525677927E-02;-7.297537476E-02; 3.099999949E-02; 4.953202978E-02
52; 1.663208194E-02;-7.270990312E-02; 3.099999949E-02; 4.818264768E-02
60; 1.800734177E-02;-7.242826372E-02; 3.099999949E-02; 4.737259448E-02
69; 1.937533356E-02;-7.210347056E-02; 3.099999949E-02; 4.886371270E-02
79; 2.073756978E-02;-7.175579667E-02; 3.099999949E-02; 5.082557723E-02
90; 2.209856547E-02;-7.141357660E-02; 3.099999949E-02; 5.089631304E-02
101; 2.345799096E-02;-7.108552009E-02; 3.099999949E-02; 4.930229485E-02
112; 2.480920032E-02;-7.075132430E-02; 3.099999949E-02; 4.840063676E-02
127; 2.614491433E-02;-7.039057463E-02; 3.099999949E-02; 4.960054159E-02
140; 2.746279538E-02;-7.000621408E-02; 3.099999949E-02; 5.219485611E-02
152; 2.821119316E-02;-6.978303939E-02; 3.099999763E-02; 5.319801718E-02
159; 2.876448445E-02;-6.961805373E-02; 3.099999949E-02; 5.394054949E-02
175; 3.005089611E-02;-6.924299151E-02; 3.099999949E-02; 5.403791368E-02
191; 3.131802753E-02;-6.887876242E-02; 3.099999763E-02; 5.354471877E-02
209; 3.256065398E-02;-6.851451099E-02; 3.099999949E-02; 5.352654308E-02
227; 3.377679735E-02;-6.814137846E-02; 3.099999949E-02; 5.462172255E-02
247; 3.496884927E-02;-6.776053458E-02; 3.099999949E-02; 5.666186661E-02
266; 3.613993526E-02;-6.737667322E-02; 3.099999949E-02; 5.895467848E-02
287; 3.729297593E-02;-6.699401885E-02; 3.099999949E-02; 6.080494076E-02
307; 3.843101114E-02;-6.661637872E-02; 3.099999949E-02; 6.205181777E-02
329; 3.955679014E-02;-6.624694169E-02; 3.099999949E-02; 6.260464340E-02
350; 4.067224264E-02;-6.588532031E-02; 3.099999949E-02; 6.250460446E-02
371; 4.177880287E-02;-6.552870572E-02; 3.099999949E-02; 6.233002990E-02
393; 4.287800565E-02;-6.517434120E-02; 3.099999949E-02; 6.247139722E-02
413; 4.397143796E-02;-6.481954455E-02; 3.099999949E-02; 6.298449636E-02
439; 4.506058246E-02;-6.446170062E-02; 3.099999949E-02; 6.391058862E-02
464; 4.614701495E-02;-6.409914792E-02; 3.099999949E-02; 6.536853313E-02
488; 4.723290727E-02;-6.373214722E-02; 3.099999949E-02; 6.708235294E-02
512; 4.832030833E-02;-6.336120516E-02; 3.099999949E-02; 6.885807216E-02
528; 4.881349951E-02;-6.319196522E-02; 3.099999949E-02; 6.965132803E-02
540; 4.940979183E-02;-6.298734993E-02; 3.099999949E-02; 7.061152160E-02
570; 5.050156638E-02;-6.261175126E-02; 3.099999949E-02; 7.240103930E-02
598; 5.159581453E-02;-6.223557144E-02; 3.099999949E-02; 7.392426580E-02
628; 5.269248784E-02;-6.185961887E-02; 3.099999949E-02; 7.520039380E-02
657; 5.379150063E-02;-6.148439273E-02; 3.099999949E-02; 7.655636221E-02
686; 5.489277467E-02;-6.111039594E-02; 3.099999949E-02; 7.765659690E-02
716; 5.599621311E-02;-6.073812395E-02; 3.100000136E-02; 7.855363935E-02
748; 5.710174516E-02;-6.036807969E-02; 3.099999949E-02; 7.936952263E-02
780; 5.820925161E-02;-6.000034139E-02; 3.099999949E-02; 7.998789847E-02
811; 5.931835249E-02;-5.963414907E-02; 3.099999949E-02; 8.069892228E-02
843; 6.042867526E-02;-5.926861241E-02; 3.099999949E-02; 8.153341711E-02
875; 6.153986230E-02;-5.890284106E-02; 3.099999949E-02; 8.264128864E-02
908; 6.265156716E-02;-5.853591487E-02; 3.099999949E-02; 8.424441516E-02
940; 6.376340985E-02;-5.816693231E-02; 3.099999949E-02; 8.639178425E-02
943; 6.382120401E-02;-5.814761668E-02; 3.099999949E-02; 8.652467281E-02
978; 6.487523019E-02;-5.779537559E-02; 3.099999949E-02; 8.893235773E-02
1012; 6.598749757E-02;-5.742250755E-02; 3.099999949E-02; 9.153620154E-02
1054; 6.710083038E-02;-5.705012754E-02; 3.099999949E-02; 9.430366755E-02
1087; 6.821586192E-02;-5.668003485E-02; 3.100000136E-02; 9.655988961E-02
1124; 6.933318824E-02;-5.631404743E-02; 3.099999949E-02; 9.802869707E-02
1159; 7.045347244E-02;-5.595397949E-02; 3.099999949E-02; 9.885136783E-02
1197; 7.157713175E-02;-5.560120195E-02; 3.099999949E-02; 9.904703498E-02
1236; 7.270408422E-02;-5.525440350E-02; 3.099999949E-02; 9.867683053E-02
1269; 7.383420318E-02;-5.491134152E-02; 3.099999763E-02; 9.848871827E-02
1309; 7.496727258E-02;-5.456975847E-02; 3.099999949E-02; 9.891957045E-02
1347; 7.610312104E-02;-5.422738567E-02; 3.099999949E-02; 1.000868604E-01
1379; 7.710348070E-02;-5.392381176E-02; 3.099999949E-02; 1.021150500E-01
1385; 7.724153250E-02;-5.388191715E-02; 3.099999949E-02; 1.023956388E-01
1425; 7.838238031E-02;-5.353133008E-02; 3.099999949E-02; 1.058039814E-01
1468; 7.952601463E-02;-5.317667499E-02; 3.099999949E-02; 1.099864244E-01
1511; 8.067306131E-02;-5.282071978E-02; 3.099999949E-02; 1.140502691E-01
1558; 8.182425052E-02;-5.246626213E-02; 3.099999949E-02; 1.174441352E-01
1595; 8.298020065E-02;-5.211619660E-02; 3.099999949E-02; 1.199116260E-01
1638; 8.414132148E-02;-5.177351832E-02; 3.099999949E-02; 1.207551658E-01
1679; 8.530816436E-02;-5.144058168E-02; 3.099999949E-02; 1.200444698E-01
1719; 8.648042381E-02;-5.111565813E-02; 3.099999949E-02; 1.190099120E-01
1762; 8.765742183E-02;-5.079524592E-02; 3.099999949E-02; 1.185586676E-01
1805; 8.883846551E-02;-5.047579110E-02; 3.099999949E-02; 1.189703420E-01
1828; 8.946050704E-02;-5.030662939E-02; 3.099999949E-02; 1.201130301E-01
1843; 9.002289176E-02;-5.015368760E-02; 3.099999949E-02; 1.211541444E-01
1890; 9.121020138E-02;-4.982569814E-02; 3.100000136E-02; 1.250707358E-01
1935; 9.240058064E-02;-4.949322343E-02; 3.099999949E-02; 1.302279234E-01
1984; 9.359470755E-02;-4.916022345E-02; 3.099999949E-02; 1.352818459E-01
2029; 9.479349852E-02;-4.883070290E-02; 3.100000136E-02; 1.386306584E-01
2073; 9.599761665E-02;-4.850879312E-02; 3.099999949E-02; 1.401585937E-01
2119; 9.720776975E-02;-4.819786549E-02; 3.099999949E-02; 1.396871507E-01
2160; 9.842353314E-02;-4.789612442E-02; 3.099999949E-02; 1.378991157E-01
2207; 9.964413941E-02;-4.759958014E-02; 3.099999949E-02; 1.367551237E-01
2249; 1.008689776E-01;-4.730414599E-02; 3.099999949E-02; 1.373269409E-01
2266; 1.013648957E-01;-4.718364030E-02; 3.099999949E-02; 1.384211481E-01
2295; 1.020972580E-01;-4.700567946E-02; 3.099999949E-02; 1.400221735E-01
2342; 1.033282652E-01;-4.670099914E-02; 3.099999949E-02; 1.449713111E-01
2387; 1.045626104E-01;-4.639228061E-02; 3.099999949E-02; 1.511304975E-01
2435; 1.058009639E-01;-4.608376697E-02; 3.099999949E-02; 1.569167525E-01
2488; 1.070440561E-01;-4.577977955E-02; 3.099999949E-02; 1.606552303E-01
2534; 1.082926467E-01;-4.548468441E-02; 3.099999949E-02; 1.615592241E-01
2578; 1.095472425E-01;-4.520093650E-02; 3.099999949E-02; 1.601903439E-01
