nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
1978; 8.897760510E-02;-5.043811724E-02;-1.935845928E-11; 9.961441904E-02
2015; 9.016522020E-02;-5.011468008E-02;-1.130736477E-11; 1.016937718E-01
2060; 9.135572612E-02;-4.978516698E-02; 2.529509935E-11; 1.055039689E-01
2103; 9.254942834E-02;-4.945159703E-02; 3.907932311E-11; 1.099055856E-01
2146; 9.374704212E-02;-4.911799356E-02;-3.793959591E-11; 1.141805425E-01
2191; 9.494946152E-02;-4.878840223E-02;-2.267513954E-11; 1.173503771E-01
2230; 9.615738690E-02;-4.846699163E-02; 1.476070099E-10; 1.185774580E-01
2272; 9.737139940E-02;-4.815672338E-02;-2.216378470E-11; 1.182231158E-01
2314; 9.859101474E-02;-4.785514995E-02; 9.206996276E-12; 1.171598434E-01
2354; 9.981541336E-02;-4.755823687E-02; 3.706392138E-11; 1.165149286E-01
2395; 1.010440066E-01;-4.726184905E-02;-9.149148800E-11; 1.172773018E-01
2438; 1.022760123E-01;-4.696180671E-02; 4.219743999E-11; 1.200700849E-01
2480; 1.035107374E-01;-4.665546119E-02; 2.720405845E-11; 1.248172075E-01
2524; 1.047489792E-01;-4.634566233E-02; 7.430757398E-12; 1.300343722E-01
2569; 1.059913933E-01;-4.603671655E-02;-6.849880385E-11; 1.348807663E-01
2615; 1.072387397E-01;-4.573297501E-02; 5.085343258E-11; 1.382990927E-01
2656; 1.084917635E-01;-4.543883726E-02;-4.442668455E-12; 1.390989274E-01
2699; 1.097508222E-01;-4.515590891E-02;-1.958397333E-11; 1.382106245E-01
2741; 1.110152975E-01;-4.488091916E-02;-6.325051594E-11; 1.366756707E-01
2787; 1.122843474E-01;-4.461009428E-02; 8.161518683E-11; 1.360735744E-01
2826; 1.135574654E-01;-4.433951527E-02;-1.716032871E-11; 1.372307241E-01
2868; 1.148339659E-01;-4.406522587E-02;-3.635523826E-11; 1.404715031E-01
2911; 1.161132231E-01;-4.378465936E-02;-8.104056315E-11; 1.459791064E-01
2956; 1.173956543E-01;-4.350045323E-02;-5.781074924E-11; 1.522630751E-01
3006; 1.186819673E-01;-4.321656376E-02; 5.510438633E-11; 1.583580673E-01
3053; 1.199728027E-01;-4.293701425E-02;-4.594963299E-12; 1.625397354E-01
3096; 1.212687567E-01;-4.266592115E-02;-4.658118335E-11; 1.636845917E-01
3142; 1.225702241E-01;-4.240623116E-02;-2.841653995E-11; 1.628651172E-01
3185; 1.238768175E-01;-4.215562344E-02;-3.162523021E-11; 1.608913392E-01
3223; 1.251877993E-01;-4.191026837E-02; 4.935699072E-11; 1.597540975E-01
3265; 1.265025735E-01;-4.166626185E-02;-3.402211846E-11; 1.605181694E-01
3309; 1.278204173E-01;-4.141966254E-02; 3.345518307E-12; 1.636812985E-01
3355; 1.291408539E-01;-4.116722196E-02;-5.464744976E-12; 1.694654226E-01
3401; 1.304640621E-01;-4.091081396E-02; 6.963627591E-12; 1.766267121E-01
3447; 1.317905486E-01;-4.065436870E-02;-2.654096387E-11; 1.835679710E-01
3493; 1.331210285E-01;-4.040184990E-02; 1.619522572E-11; 1.881705374E-01
3543; 1.344559640E-01;-4.015730321E-02; 2.535028437E-11; 1.897702366E-01
3587; 1.357958019E-01;-3.992376849E-02; 3.848443439E-11; 1.888997853E-01
3630; 1.371400952E-01;-3.969917446E-02; 5.628303379E-12; 1.865946949E-01
3671; 1.384882629E-01;-3.947979212E-02;-5.273618348E-12; 1.850939393E-01
3710; 1.398397386E-01;-3.926182911E-02;-1.780704577E-11; 1.857255250E-01
3755; 1.411938965E-01;-3.904148191E-02; 1.085710341E-11; 1.893418729E-01
3804; 1.425501406E-01;-3.881577775E-02;-8.701692145E-12; 1.959828436E-01
3850; 1.439089328E-01;-3.858665004E-02;-5.686437432E-12; 2.036127448E-01
3894; 1.452706307E-01;-3.835779056E-02;-4.310309054E-12; 2.105106562E-01
3940; 1.466356218E-01;-3.813296184E-02; 2.651406872E-12; 2.153879851E-01
3982; 1.480070502E-01;-3.791552037E-02; 2.781330721E-11; 2.165244520E-01
4030; 1.493825912E-01;-3.770830482E-02;-4.435556089E-12; 2.151674628E-01
4070; 1.507618129E-01;-3.750886396E-02;-4.050065838E-12; 2.127624601E-01
4114; 1.521440148E-01;-3.731371835E-02;-1.996451615E-11; 2.111724317E-01
4156; 1.535288692E-01;-3.711930290E-02;-2.130727886E-11; 2.125697732E-01
4198; 1.549158394E-01;-3.692204133E-02; 2.587923625E-11; 2.171346247E-01
4241; 1.563045233E-01;-3.671999648E-02; 1.357846474E-11; 2.242891043E-01
4290; 1.576951742E-01;-3.651580215E-02; 5.704950401E-12; 2.322313935E-01
4334; 1.590883434E-01;-3.631288558E-02;-2.476174821E-11; 2.390921116E-01
4379; 1.604843587E-01;-3.611471504E-02; 1.908930999E-11; 2.430236936E-01
4422; 1.618835330E-01;-3.592475504E-02;-3.282794869E-11; 2.433124781E-01
4464; 1.632858813E-01;-3.574387729E-02;-1.412305169E-11; 2.412952632E-01
4506; 1.646911353E-01;-3.556943312E-02;-2.655470635E-11; 2.386670858E-01
4542; 1.660988182E-01;-3.539851308E-02; 1.583017051E-11; 2.376704812E-01
4587; 1.675085127E-01;-3.522819281E-02;-7.448678827E-12; 2.391364574E-01
4629; 1.689199358E-01;-3.505548090E-02;-7.590546247E-12; 2.437055409E-01
4671; 1.703328341E-01;-3.487836570E-02;-5.639374384E-12; 2.512545288E-01
4716; 1.717473119E-01;-3.469872847E-02;-7.164768778E-12; 2.595409453E-01
4762; 1.731636375E-01;-3.451943770E-02; 9.933505407E-12; 2.673479021E-01
4805; 1.745822430E-01;-3.434337303E-02;-7.947642544E-12; 2.728641927E-01
4844; 1.760033220E-01;-3.417345136E-02; 6.514927486E-13; 2.747231424E-01
4887; 1.774270386E-01;-3.401209414E-02; 2.588337183E-11; 2.731727660E-01
4933; 1.788530946E-01;-3.385812789E-02; 6.150410042E-12; 2.697035074E-01
4971; 1.802813262E-01;-3.370890021E-02;-1.435592964E-11; 2.669965029E-01
5006; 1.817113459E-01;-3.356175870E-02;-1.277492695E-11; 2.664513290E-01
5047; 1.831427962E-01;-3.341401368E-02;-1.675944106E-11; 2.689571381E-01
5090; 1.845754087E-01;-3.326309100E-02;-1.021775026E-11; 2.750360072E-01
5133; 1.860091984E-01;-3.310887516E-02;-6.716918688E-12; 2.827699482E-01
5170; 1.874442399E-01;-3.295371309E-02;-3.473700494E-12; 2.906272411E-01
5214; 1.888807565E-01;-3.280005604E-02;-2.401581017E-11; 2.971712649E-01
5256; 1.903190166E-01;-3.265035525E-02;-8.067851942E-12; 3.007063568E-01
5297; 1.917591989E-01;-3.250703588E-02; 5.620958560E-12; 3.010578156E-01
5341; 1.932012439E-01;-3.237082809E-02; 3.616343336E-12; 2.985026240E-01
5375; 1.946449429E-01;-3.224024922E-02;-1.413164377E-11; 2.953251898E-01
5412; 1.960902065E-01;-3.211365268E-02;-1.155298079E-12; 2.924739718E-01
5450; 1.975368261E-01;-3.198939934E-02; 8.257813704E-12; 2.907865644E-01
5486; 1.989845783E-01;-3.186583146E-02;-1.719720373E-11; 2.916266322E-01
5522; 2.004333884E-01;-3.174129501E-02; 1.174172738E-12; 2.946287394E-01
5560; 2.018830776E-01;-3.161412477E-02;-7.777292699E-12; 3.002570570E-01
5603; 2.033335418E-01;-3.148366511E-02; 1.203963838E-11; 3.078973889E-01
5642; 2.047848403E-01;-3.135130182E-02;-1.435762099E-12; 3.163429797E-01
5683; 2.062371373E-01;-3.121864609E-02; 8.621318937E-12; 3.243686557E-01
5726; 2.076905668E-01;-3.108731657E-02; 3.022262995E-12; 3.306945264E-01
5771; 2.091451734E-01;-3.095894307E-02;-1.297678978E-12; 3.348731399E-01
5808; 2.106010914E-01;-3.083517030E-02; 3.438281777E-12; 3.364196420E-01
5847; 2.120584399E-01;-3.071758151E-02;-5.899513517E-12; 3.351640105E-01
5878; 2.135171890E-01;-3.060634620E-02; 2.139946206E-12; 3.317322135E-01
5916; 2.149771005E-01;-3.050009720E-02; 4.822586774E-12; 3.278375864E-01
5954; 2.164380997E-01;-3.039737791E-02; 4.391946876E-12; 3.247830272E-01
5984; 2.179000676E-01;-3.029672429E-02; 3.853549424E-12; 3.232532442E-01
6016; 2.193628550E-01;-3.019667231E-02;-2.121343899E-12; 3.238086998E-01
6052; 2.208263427E-01;-3.009575419E-02;-3.832275643E-12; 3.263179362E-01
6091; 2.222904563E-01;-2.999251522E-02;-5.122265459E-12; 3.313076794E-01
6125; 2.237551063E-01;-2.988660149E-02; 9.242201622E-12; 3.388302922E-01
6167; 2.252203673E-01;-2.977921069E-02;-6.678912631E-12; 3.469884992E-01
6204; 2.266862839E-01;-2.967166714E-02; 3.055948723E-12; 3.546887338E-01
6242; 2.281529605E-01;-2.956528403E-02; 5.209064083E-12; 3.609098792E-01
6280; 2.296204716E-01;-2.946139127E-02;-5.258717073E-12; 3.647966087E-01
6315; 2.310888618E-01;-2.936132252E-02;-1.355695070E-12; 3.661920428E-01
6352; 2.325581610E-01;-2.926630341E-02; 3.612998789E-12; 3.646329641E-01
6385; 2.340283841E-01;-2.917624824E-02;-6.040480616E-13; 3.614934683E-01
6412; 2.354994118E-01;-2.909022942E-02; 6.488594384E-13; 3.581259847E-01
6448; 2.369711250E-01;-2.900729887E-02; 9.145045832E-13; 3.554629087E-01
6476; 2.384434938E-01;-2.892650850E-02;-1.057844090E-11; 3.529279530E-01
6511; 2.399164587E-01;-2.884690091E-02;-8.452209418E-12; 3.514090478E-01
6536; 2.413899302E-01;-2.876752429E-02; 1.586338699E-12; 3.522188365E-01
6575; 2.428638339E-01;-2.868741937E-02;-1.434534349E-12; 3.548004031E-01
6603; 2.443381548E-01;-2.860563062E-02; 3.176633869E-12; 3.595230281E-01
6639; 2.458127886E-01;-2.852145582E-02;-4.310271758E-12; 3.660558760E-01
6674; 2.472877949E-01;-2.843546122E-02; 5.506071727E-12; 3.732966483E-01
6707; 2.487631440E-01;-2.834859490E-02;-4.471264071E-12; 3.806122243E-01
6745; 2.502389550E-01;-2.826181240E-02; 2.329529365E-12; 3.876540363E-01
6778; 2.517152131E-01;-2.817605995E-02; 2.707524309E-12; 3.927932680E-01
6815; 2.531920373E-01;-2.809229493E-02; 2.489945533E-12; 3.956308365E-01
6850; 2.546693385E-01;-2.801147103E-02;-5.786213522E-13; 3.966427147E-01
6881; 2.561472952E-01;-2.793454565E-02; 2.066038313E-13; 3.952311873E-01
6915; 2.576258779E-01;-2.786231227E-02; 1.558891471E-12; 3.918995857E-01
6941; 2.591049671E-01;-2.779441699E-02;-1.266133032E-12; 3.869441748E-01
6970; 2.605846226E-01;-2.773003280E-02; 1.157428537E-12; 3.816011250E-01
6997; 2.620647252E-01;-2.766832896E-02;-1.292236283E-12; 3.770715594E-01
7023; 2.635452449E-01;-2.760846913E-02; 1.997721433E-12; 3.729008436E-01
7048; 2.650261819E-01;-2.754962258E-02;-1.482191540E-12; 3.696834445E-01
7078; 2.665074766E-01;-2.749095298E-02; 3.935199389E-12; 3.686648905E-01
7103; 2.679890692E-01;-2.743162215E-02;-3.718258340E-13; 3.690579832E-01
7133; 2.694709599E-01;-2.737079374E-02; 4.084817554E-12; 3.713709116E-01
7156; 2.709530294E-01;-2.730800025E-02;-2.434919670E-12; 3.756396174E-01
7189; 2.724353969E-01;-2.724380419E-02; 6.485669207E-13; 3.802808225E-01
7221; 2.739180326E-01;-2.717895433E-02; 8.785878925E-13; 3.847728670E-01
7253; 2.754009068E-01;-2.711418830E-02;-1.141102837E-12; 3.881379366E-01
7289; 2.768841088E-01;-2.705025673E-02; 4.988587668E-14; 3.902426064E-01
7315; 2.783676386E-01;-2.698790468E-02;-2.056286998E-12; 3.888356388E-01
7343; 2.798514366E-01;-2.692787722E-02;-2.424988379E-13; 3.876631558E-01
7372; 2.813356221E-01;-2.687092684E-02;-8.452189686E-13; 3.830739856E-01
7401; 2.828201354E-01;-2.681754529E-02;-2.015522081E-13; 3.763035536E-01
7422; 2.843049467E-01;-2.676739171E-02;-5.818956428E-14; 3.675567210E-01
7448; 2.857899964E-01;-2.671996318E-02;-9.989075539E-13; 3.590289652E-01
7473; 2.872753143E-01;-2.667474933E-02; 8.059252050E-13; 3.496632576E-01
7494; 2.887608409E-01;-2.663123794E-02; 1.174158427E-14; 3.401461244E-01
7513; 2.902466357E-01;-2.658892609E-02; 1.194363185E-12; 3.302378953E-01
7539; 2.917325795E-01;-2.654729225E-02; 8.608435145E-14; 3.216628432E-01
7559; 2.932187617E-01;-2.650583535E-02; 3.133883669E-13; 3.120634556E-01
7579; 2.947051525E-01;-2.646404319E-02; 7.009407161E-13; 3.028773665E-01
7607; 2.961916924E-01;-2.642139979E-02;-5.970238410E-13; 2.935613692E-01
7629; 2.976783514E-01;-2.637740225E-02; 3.337963586E-13; 2.829788029E-01
7650; 2.991651893E-01;-2.633184381E-02; 1.011309743E-12; 2.730948031E-01
7681; 3.006522059E-01;-2.628514916E-02; 2.110659737E-14; 2.602282763E-01
7702; 3.021394014E-01;-2.623782307E-02;-4.497427821E-13; 2.462736815E-01
7734; 3.036267757E-01;-2.619036846E-02;-8.317798490E-14; 2.285457700E-01
