Velocity u.Gradient X [ s^-1 ], Velocity u.Gradient Y [ s^-1 ], Velocity u.Gradient Z [ s^-1 ], Velocity v [ m s^-1 ], Velocity v.Gradient X [ s^-1 ], Velocity v.Gradient Y [ s^-1 ], Velocity v.Gradient Z [ s^-1 ], Wall Shear [ Pa ], Wall Shear X [ Pa ], Wall Shear Y [ Pa ], Wall Shear Z [ Pa ], X [ m ], Y [ m ], Z [ m ]
1.22166598e+00, 2.60615845e+02, -1.16363277e+01, 0.00000000e+00, 5.87635823e-02, 9.03529465e-01, 3.25582922e-01, 3.55451584e-01, 3.47802162e-01, 0.00000000e+00, 7.33449906e-02, 4.00000006e-01, -2.50000004e-02, 0.00000000e+00
4.86497784e+00, 1.70887161e+02, -3.48107834e+01, 5.08764933e-04, 3.24634552e-01, 7.73103356e-01, 4.42462397e+00, null, null, null, null, 4.00000006e-01, -2.44949497e-02, 0.00000000e+00
7.17287636e+00, 4.64734230e+01, -2.74562988e+01, -2.65348051e-03, 5.83649337e-01, -6.50241470e+00, 1.11240444e+01, null, null, null, null, 4.00000006e-01, -2.39898991e-02, 0.00000000e+00
6.83907986e+00, 3.90808754e+01, -2.28617229e+01, -8.52349307e-03, 9.04221117e-01, -1.08485022e+01, 1.28031654e+01, null, null, null, null, 4.00000006e-01, -2.34848484e-02, 0.00000000e+00
3.44489789e+00, 5.01979065e+01, -1.53834524e+01, -1.38881495e-02, 1.53545642e+00, -8.79405212e+00, 1.01727324e+01, null, null, null, null, 4.00000006e-01, -2.29797978e-02, 0.00000000e+00
-2.06324100e+00, 3.15611763e+01, -5.68362522e+00, -1.63797513e-02, 1.89421546e+00, -3.05487752e+00, 7.89559174e+00, null, null, null, null, 4.00000006e-01, -2.24747472e-02, 0.00000000e+00
-4.80104208e+00, 1.28052197e+01, -2.87003541e+00, -1.64877307e-02, 1.90714264e+00, 2.49036267e-01, 6.61055946e+00, null, null, null, null, 4.00000006e-01, -2.19696965e-02, 0.00000000e+00
-5.62358999e+00, 4.67900085e+00, -1.49539721e+00, -1.52927507e-02, 1.84292758e+00, 2.15556359e+00, 5.71425295e+00, null, null, null, null, 4.00000006e-01, -2.14646459e-02, 0.00000000e+00
-5.44102383e+00, 6.87429667e-01, -2.89973259e-01, -1.36219375e-02, 1.81501555e+00, 2.94548774e+00, 4.94831848e+00, null, null, null, null, 4.00000006e-01, -2.09595952e-02, 0.00000000e+00
-5.41838598e+00, -1.64353967e+00, -1.19364813e-01, -1.20662190e-02, 1.89475632e+00, 3.26620030e+00, 4.32160330e+00, null, null, null, null, 4.00000006e-01, -2.04545446e-02, 0.00000000e+00
-5.09827089e+00, -1.64421618e+00, -8.79308939e-01, -1.06005976e-02, 2.17297077e+00, 2.96232986e+00, 3.93983364e+00, null, null, null, null, 4.00000006e-01, -1.99494939e-02, 0.00000000e+00
-4.14094210e+00, -2.14213967e-01, -1.62266684e+00, -9.59809218e-03, 2.33520865e+00, 1.78945696e+00, 3.50914526e+00, null, null, null, null, 4.00000006e-01, -1.94444433e-02, 0.00000000e+00
-3.24267507e+00, 2.21839452e+00, -1.38895071e+00, -8.88962112e-03, 2.19896317e+00, 6.14017904e-01, 2.72904730e+00, null, null, null, null, 4.00000006e-01, -1.89393926e-02, 0.00000000e+00
-2.90559506e+00, 2.74199557e+00, -4.03660417e-01, -8.50125402e-03, 1.91032112e+00, 1.06224284e-01, 1.75866199e+00, null, null, null, null, 4.00000006e-01, -1.84343420e-02, 0.00000000e+00
-2.84171057e+00, 2.59086585e+00, 5.54877341e-01, -7.96326343e-03, 1.58961451e+00, 2.14100152e-01, 8.72094393e-01, null, null, null, null, 4.00000006e-01, -1.79292914e-02, 0.00000000e+00
-2.49078655e+00, 2.33508563e+00, 1.05076718e+00, -7.34126987e-03, 1.31905830e+00, 2.89358616e-01, 2.42816553e-01, null, null, null, null, 4.00000006e-01, -1.74242407e-02, 0.00000000e+00
-1.95709157e+00, 1.83611417e+00, 1.11017740e+00, -6.89452933e-03, 1.10715115e+00, 1.95548981e-01, -9.73838195e-02, null, null, null, null, 4.00000006e-01, -1.69191901e-02, 0.00000000e+00
-1.48032403e+00, 1.37231064e+00, 9.93968725e-01, -6.66250242e-03, 9.48054612e-01, 7.63767362e-02, -2.57540494e-01, null, null, null, null, 4.00000006e-01, -1.64141394e-02, 0.00000000e+00
-1.15607381e+00, 1.08184469e+00, 8.62113476e-01, -6.59588352e-03, 8.46951365e-01, 6.60127029e-04, -3.25446635e-01, null, null, null, null, 4.00000006e-01, -1.59090888e-02, 0.00000000e+00
-9.51974392e-01, 8.66738319e-01, 7.54848421e-01, -6.58936473e-03, 7.86707640e-01, -1.21915946e-02, -3.61878514e-01, null, null, null, null, 4.00000006e-01, -1.54040381e-02, 0.00000000e+00
-8.40891004e-01, 7.36532629e-01, 6.65443480e-01, -6.58670766e-03, 7.54220784e-01, 3.54495831e-02, -3.77402931e-01, null, null, null, null, 4.00000006e-01, -1.48989875e-02, 0.00000000e+00
